Map,ID,Waypoint Type,Weather,Local Time,GMT Time,Time Zone,Latitude,Longitude,Image,Comment,URL
The Way Home,48380,Waypoint,sunny,2011-05-30 10:43:54,2011-05-30 14:43:54,-4.00,43.90834300,-69.96267400,http://trackmytour.com/media/photos/2011/05/30/1306766634x5456.jpg,Start!,http://trackmytour.com/6FCHJ#48380
The Way Home,48461,Waypoint,sunny,2011-05-30 18:17:48,2011-05-30 22:17:48,-4.00,43.81004900,-70.10018600,http://trackmytour.com/media/photos/2011/05/30/1306793868x5456.jpg,The Atlantic,http://trackmytour.com/6FCHJ#48461
The Way Home,48531,Waypoint,sunny,2011-05-31 08:53:46,2011-05-31 12:53:46,-4.00,43.81042400,-70.10014800,,Thank you the Newcombs!,http://trackmytour.com/6FCHJ#48531
The Way Home,48564,Lunch,sunny,2011-05-31 12:42:10,2011-05-31 16:42:10,-4.00,43.93746200,-70.42511000,http://trackmytour.com/media/photos/2011/05/31/1306860130x5456.jpg,Rough start (snapped chain) but now exploring all the rolling hills in rural maine.,http://trackmytour.com/6FCHJ#48564
The Way Home,48575,Waypoint,sunny,2011-05-31 16:14:45,2011-05-31 20:14:45,-4.00,44.06570900,-70.80292800,http://trackmytour.com/media/photos/2011/05/31/1306872885x5456.jpg,Swim? It is only 85 F today. Never thought Maine could be this warm.,http://trackmytour.com/6FCHJ#48575
The Way Home,48584,Waypoint,sunny,2011-05-31 18:41:11,2011-05-31 22:41:11,-4.00,44.02145900,-70.99742900,,Goodbye Maine,http://trackmytour.com/6FCHJ#48584
The Way Home,48596,Supper,sunny,2011-05-31 22:47:19,2011-06-01 02:47:19,-4.00,44.07711400,-71.13838000,,I just ate an entire flatbread pizza.,http://trackmytour.com/6FCHJ#48596
The Way Home,48666,Waypoint,sunny,2011-06-01 09:16:45,2011-06-01 13:16:45,-4.00,44.06457000,-71.13581600,,Thank you the Nicols for putting me up for the night.,http://trackmytour.com/6FCHJ#48666
The Way Home,48669,Waypoint,sunny,2011-06-01 10:11:28,2011-06-01 14:11:28,-4.00,43.98282000,-71.11759300,http://trackmytour.com/media/photos/2011/06/01/1306937488x5456.jpg,"I met an interesting guy at the Saco river covered bridge. He was packing heat and claimed to be the warden of the Saco waterfront. It turns out that his name was Tony and he had biked across the country twice ( on a 1977 schwin supersport). One of his trips was with a girlfriend (now ex) that he ""should have just buried her in the desert"". The girlfriend took custody of tony's  house in north conway and he lived in the woods for 95 days in the middle of winter. He claimed that left him just a little bit crazy.",http://trackmytour.com/6FCHJ#48669
The Way Home,48670,Waypoint,sunny,2011-06-01 14:46:00,2011-06-01 18:46:00,-4.00,44.01627400,-71.46125800,,"Kancamagus pass: 9% grade

Not looking forward to the western mountains.",http://trackmytour.com/6FCHJ#48670
The Way Home,48682,Waypoint,thunder,2011-06-01 17:25:58,2011-06-01 21:25:58,-4.00,44.09005800,-72.02605500,http://trackmytour.com/media/photos/2011/06/01/1306963558x5456.jpg,"Out of the white mountains!

Tornado warning for parts of New Hampshire.",http://trackmytour.com/6FCHJ#48682
The Way Home,48709,Waypoint,thunder,2011-06-01 20:12:49,2011-06-02 00:12:49,-4.00,44.06911700,-72.00212100,,In for the night. At anna's relatives. Back tracking sucks but beats sleeping in the rain.,http://trackmytour.com/6FCHJ#48709
The Way Home,48721,Supper,thunder,2011-06-01 22:03:36,2011-06-02 02:03:36,-4.00,44.06911600,-72.00249300,http://trackmytour.com/media/photos/2011/06/02/1306980216x5456.jpg,,http://trackmytour.com/6FCHJ#48721
The Way Home,48766,Waypoint,sunny_some_clouds,2011-06-02 10:05:07,2011-06-02 14:05:07,-4.00,43.83452700,-72.18017600,http://trackmytour.com/media/photos/2011/06/02/1307023507x5456.jpg,NH-VT border.,http://trackmytour.com/6FCHJ#48766
The Way Home,48767,Waypoint,sunny_some_clouds,2011-06-02 10:15:59,2011-06-02 14:15:59,-4.00,43.81163400,-72.18417400,http://trackmytour.com/media/photos/2011/06/02/1307024159x5456.jpg,Vermont!,http://trackmytour.com/6FCHJ#48767
The Way Home,48859,Waypoint,light_rain,2011-06-02 12:02:58,2011-06-02 16:02:58,-4.00,43.84360500,-72.41529900,http://trackmytour.com/media/photos/2011/06/03/1307030578x5456.jpg,"Lesson of the day

Just because the side up a mountain is paved, the way down could turn into a very steep and loose dirt road.

It is a bit intimidating feeling the entire loaded bike fishtail in the loose patches. My hands took quite the beating.",http://trackmytour.com/6FCHJ#48859
The Way Home,48854,Waypoint,light_rain,2011-06-02 15:30:57,2011-06-02 19:30:57,-4.00,43.78207500,-72.75725500,http://trackmytour.com/media/photos/2011/06/03/1307043057x5456.jpg,The white river,http://trackmytour.com/6FCHJ#48854
